COU,Country,Variable,Risk,Year,Unit,PowerCode,Value
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.095903
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,3.633958
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.957147
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.538377
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,699.434
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,617.687
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,534.512
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,438.522
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,432.385
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,312.865
BEL,Belgium,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,302.814
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,7.266499
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,6.339135
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,5.342888
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.321762
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,4.229766
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.040314
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.915624
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,224.168
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,191.213
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,170.446
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,145.51
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,168.657
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,223.026
AFG,Afghanistan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,228.234
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.942573
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.765488
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.462869
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.695582
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.242171
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.293541
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,285.349
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,266.002
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,318.648
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,380.854
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,428.051
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,498.178
ALB,Albania,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,532.035
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,3.454048
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.674225
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.893441
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.516443
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,4.924558
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.669538
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.972043
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,425.854
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,464.555
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,497.668
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,479.843
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,462.1
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,494.707
DZA,Algeria,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,502.327
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,4.800626
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,5.288125
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,5.612487
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,5.311048
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,5.092515
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,5.417024
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,5.504812
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,93.551
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,102.384
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,93.396
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,100.246
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,107.686
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,124.749
ASM,American Samoa,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,140.15
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,169.896
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,162.902
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,191.118
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,158.453
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,153.165
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,150.952
AND,Andorra,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,136.917
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,104.099
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,108.651
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,124.266
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,123.325
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,131.872
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,155.527
AGO,Angola,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,174.547
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.264904
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.092317
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.249298
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.48789
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.556631
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,1.827848
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.093402
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,372.218
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,387.7
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,318.276
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,273.867
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,279.47
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,305.836
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,309.069
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,3.984743
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,4.145956
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.348484
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.97516
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.943297
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.360001
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.28393
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,349.936
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,335.847
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,302.975
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,271.463
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,280.492
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,300.539
ARG,Argentina,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,281.206
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,3.874841
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,3.646086
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,3.27502
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.952918
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.99411
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.201271
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.018943
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,609.027
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,770.517
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,820.372
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,1010.785
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,1139.815
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,1115.201
ARM,Armenia,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,1045.64
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,7.522354
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,7.746323
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,8.247539
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,12.04398
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,13.28011
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,12.73839
ARM,Armenia,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,11.71413
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,517.276
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,632.818
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,585.073
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,652.746
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,775.925
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,807.873
AZE,Azerbaijan,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,783.148
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,5.988775
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,6.361979
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,5.881981
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,7.615846
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,8.4378
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,8.752371
AZE,Azerbaijan,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,8.505048
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,233.971
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,239.189
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,245.691
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,220.094
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,216.617
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,243.86
BHS,Bahamas,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,254.771
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,2.36271
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,2.461323
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,2.450711
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,2.19717
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,2.206252
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.500172
BHS,Bahamas,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.612528
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,584.532
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,552.731
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,488.519
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,454.056
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,341.858
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,356.396
BHR,Bahrain,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,381.299
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,5.753064
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,5.332247
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,4.690875
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,4.197317
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,3.200127
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,3.283627
BHR,Bahrain,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,3.55079
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,200.109
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,202.381
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,222.997
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,238.852
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,289.306
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,375.193
BGD,Bangladesh,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,453.833
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,1037.126
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,1247.709
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2000,Per 1 000 000 inhabitants,Units,1240.137
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2005,Per 1 000 000 inhabitants,Units,1354.327
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2010,Per 1 000 000 inhabitants,Units,1345.676
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2015,Per 1 000 000 inhabitants,Units,1006.043
BLR,Belarus,"Premature deaths, per million inhabitants",Ambient Particulate Matter,2019,Per 1 000 000 inhabitants,Units,889.441
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,12.01793
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,15.0768
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,14.50365
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,15.22787
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,14.58546
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,10.84426
BLR,Belarus,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,9.54286
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1990,Percentage,Units,1.513197
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,1995,Percentage,Units,1.410885
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2000,Percentage,Units,1.628461
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2005,Percentage,Units,1.454112
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2010,Percentage,Units,1.57923
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2015,Percentage,Units,2.004425
BEN,Benin,"Welfare cost of premature deaths, % GDP equivalent",Ambient Particulate Matter,2019,Percentage,Units,2.50434
BMU,Bermuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1990,Per 1 000 000 inhabitants,Units,254.365
BMU,Bermuda,"Premature deaths, per million inhabitants",Ambient Particulate Matter,1995,Per 1 000 000 inhabitants,Units,222.983
